,Latitude,Longitude,2018,2019
0,24.66818,71.33144,17.737728029269192,15.880329315817505
1,24.66818,71.41106,37.929384812363196,36.07198609891151
2,24.66818,71.49069,61.69791216953574,59.51649050378859
3,24.66818,71.57031,80.54168037521428,80.36519493995185
4,24.66818,71.64994,28.138613300662385,29.853175985418105
5,24.66818,71.72956,36.32870563443868,36.265531039753654
6,24.66818,71.80919,43.48984448508067,43.82836670677813
7,24.66818,71.88882,64.46911452954173,66.36996415330051
8,24.66818,71.96844,50.8012092446327,52.15239830227232
9,24.66818,72.04807,64.05799556207971,63.58255253344281
10,24.66818,72.12769,19.994535537914174,19.85489923313311
11,24.66818,72.20732,14.034658179356825,14.410065090002746
12,24.66818,72.28694,14.235944890342765,14.260759405395206
13,24.66818,72.36657,11.103047932186456,11.127862447238925
14,24.58758,71.25181,11.60058166370456,11.413415944986383
15,24.58758,71.33144,50.11867193187123,48.26127321841955
16,24.58758,71.41106,78.7490116628305,80.15683899968695
17,24.58758,71.49069,142.55341460238418,140.88476763117055
18,24.58758,71.57031,130.2187405522441,131.5117414683011
19,24.58758,71.64994,78.49243056937318,78.5826770799851
20,24.58758,71.72956,96.26302987250814,96.74111987443513
21,24.58758,71.80919,104.44968037966493,103.46767582492859
22,24.58758,71.88882,110.84519444506729,109.86318989033097
23,24.58758,71.96844,129.60287916799086,129.8603441464374
24,24.58758,72.04807,131.2893961969537,131.1253215379097
25,24.58758,72.12769,67.71233378466539,67.35583790292587
26,24.58758,72.20732,48.02500683089282,48.07829839983441
27,24.58758,72.28694,40.17951110509033,40.835815675335425
28,24.58758,72.36657,14.850689211039736,15.50699378128482
29,24.50698,71.25181,11.402179335297745,11.215013616579569
30,24.50698,71.33144,39.059468438483265,38.87230271976509
31,24.50698,71.41106,94.04494100427934,93.07966307976689
32,24.50698,71.49069,135.06880955302103,136.3829287272283
33,24.50698,71.57031,126.97086112271997,125.82735762820319
34,24.50698,71.64994,128.66987406205698,128.45819507858744
35,24.50698,71.72956,120.974427119477,120.76274813600745
36,24.50698,71.80919,153.54802782099273,152.34285863857122
37,24.50698,71.88882,146.68189193913446,147.9846117478094
38,24.50698,71.96844,92.82464771007417,93.45279175302859
39,24.50698,72.04807,70.45228590477993,70.51336756073175
40,24.50698,72.12769,64.76063631626451,64.42831157867758
41,24.50698,72.20732,79.21506627446445,79.8280941484115
42,24.50698,72.28694,95.11217822127796,94.4651381384702
43,24.50698,72.36657,37.57361423365168,37.11629865448684
44,24.50698,72.44619,12.727312534994411,12.644919900882712
45,24.50698,72.60544,8.864654573017077,8.050918826810943
46,24.50698,72.68507,10.437357525310432,9.82980088901951
47,24.42638,71.33144,24.53251850469141,23.575655124812087
48,24.42638,71.41106,89.10773313736458,87.01645289396116
49,24.42638,71.49069,102.5108738055923,101.27876476580755
50,24.42638,71.57031,105.13312760164463,105.39397133542576
51,24.42638,71.64994,113.06602101662433,112.44010718299226
52,24.42638,71.72956,111.2741110787945,111.26133143050647
53,24.42638,71.80919,138.71183289150514,138.03881872505815
54,24.42638,71.88882,143.75377388023983,142.6101984756445
55,24.42638,71.96844,124.50319118972257,124.11392293129552
56,24.42638,72.04807,140.22422103739808,139.48018606506463
57,24.42638,72.12769,105.27443249640469,103.55173336462664
58,24.42638,72.20732,104.31399188265581,102.49052019875458
59,24.42638,72.28694,76.10394976072124,76.17993422949944
60,24.42638,72.36657,70.51280297395579,69.6302581963865
61,24.42638,72.44619,20.921541330090264,19.375945400671995
62,24.42638,72.52582,16.336308685359086,15.780540243208208
63,24.42638,72.60544,31.369588706295787,31.43273113127225
64,24.42638,72.68507,21.679631117061405,21.4090357618403
65,24.42638,73.00357,14.967968072600428,15.553574990412898
66,24.42638,73.08319,15.999882177995616,15.66423571835864
67,24.42638,73.16282,10.830863581505554,10.495217121868592
68,24.34578,71.25181,14.412476842965447,13.792870930592684
69,24.34578,71.33144,20.44987672436804,19.830270811995263
70,24.34578,71.41106,100.27461170472367,99.40635914168698
71,24.34578,71.49069,111.87314281441073,111.20229899213774
72,24.34578,71.57031,106.62978386424089,107.14699763280835
73,24.34578,71.64994,119.4295713105553,121.33397602259275
74,24.34578,71.72956,148.98093881271237,148.17997698875115
75,24.34578,71.80919,180.24806916206563,180.9523241562631
76,24.34578,71.88882,137.96827372086364,138.66022049176678
77,24.34578,71.96844,105.8851473152335,102.75776120995872
78,24.34578,72.04807,164.24512385376227,163.26339791127202
79,24.34578,72.12769,155.12773326540764,155.3664004328769
80,24.34578,72.20732,104.76490420435204,104.61888835087007
81,24.34578,72.28694,41.861272552815024,41.17600762808618
82,24.34578,72.36657,48.50521968980304,46.96809265928104
83,24.34578,72.44619,35.92363446981264,35.49278345960248
84,24.34578,72.52582,75.22076385187405,75.53378342423548
85,24.34578,72.60544,40.30685556373129,40.6198751360927
86,24.34578,72.68507,16.882570751399413,16.29012425989376
87,24.34578,73.00357,20.90954261475079,21.49514953256326
88,24.34578,73.08319,46.6473920923744,46.31174563273743
89,24.34578,73.16282,17.873637923323187,17.53799146368621
90,24.34578,73.24244,10.695102310188304,10.359455850551342
91,24.26518,71.25181,12.468111721323623,11.64511153264857
92,24.26518,71.33144,51.91880490872414,50.783061999404154
93,24.26518,71.41106,136.396844410014,134.37324461757262
94,24.26518,71.49069,116.44844153489342,116.03133478271106
95,24.26518,71.57031,83.75735916462789,85.4267593527859
96,24.26518,71.64994,130.24710091091026,132.2325596879657
97,24.26518,71.72956,146.88885083862687,147.41328669396842
98,24.26518,71.80919,122.28965960420066,121.8075885455529
99,24.26518,71.88882,124.60988210968527,121.45987234956803
100,24.26518,71.96844,125.73583025440995,122.25393970158727
101,24.26518,72.04807,173.84992575313504,170.72253964786026
102,24.26518,72.12769,140.5639615511234,139.31202162591723
103,24.26518,72.20732,109.48581398386548,109.6801730285888
104,24.26518,72.28694,129.34849800482937,130.4098080908428
105,24.26518,72.36657,142.57413484265058,142.37778708951225
106,24.26518,72.44619,118.99764218145921,118.98706542269792
107,24.26518,72.52582,75.70917740610695,75.13975499088218
108,24.26518,72.60544,14.857132326288578,13.975197144461546
109,24.26518,72.68507,23.207962754438626,22.61551626293297
110,24.26518,72.76469,14.56171707557202,14.616872656698035
111,24.26518,72.84432,15.727495084643351,15.764216480321664
112,24.26518,72.92394,15.05582775017622,10.736793703373479
113,24.26518,73.00357,28.53535034916547,24.205918425624787
114,24.26518,73.08319,25.94851335584437,24.327306236659098
115,24.26518,73.16282,11.105848734741983,8.931122694130806
116,24.26518,73.24244,10.593201409182967,9.57377914018457
117,24.18458,71.25181,11.944703979028162,11.12170379035308
118,24.18458,71.33144,31.484665545121373,30.990489810871466
